Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,CONN_CAP_IBM_F,CONN_CAP_IBM_F,283.676,-133.979,90.0,top
SW_0,"8,7",SW_CAP_IBM_F,296.0,-185.0,0.0,top
SW_1,"2,8",SW_CAP_IBM_F_ALT,125.0,-185.0,0.0,top
SW_02,"3,8",SW_CAP_IBM_F_ALT,144.0,-185.0,0.0,top
SW_03,"4,7",SW_CAP_IBM_F,163.0,-185.0,0.0,top
SW_04,"4,8",SW_CAP_IBM_F_ALT,182.0,-185.0,0.0,top
SW_05,"5,7",SW_CAP_IBM_F,201.0,-185.0,0.0,top
SW_06,"5,8",SW_CAP_IBM_F_ALT,220.0,-185.0,0.0,top
SW_07,"6,8",SW_CAP_IBM_F,239.0,-185.0,0.0,top
SW_08,"7,7",SW_CAP_IBM_F,258.0,-185.0,0.0,top
SW_09,"7,8",SW_CAP_IBM_F_ALT,277.0,-185.0,0.0,top
SW_10,"3,4",SW_CAP_IBM_F,139.25,-227.0,0.0,top
SW_11,"6,2",SW_CAP_IBM_F,224.75,-248.0,0.0,top
SW_12,"A,6",SW_CAP_IBM_F,364.93,-206.0,0.0,top
SW_13,"A,8",SW_CAP_IBM_F,360.19,-185.0,0.0,top
SW_14,"4,4",SW_CAP_IBM_F_ALT,186.75,-248.0,0.0,top
SW_15,"2,5",SW_CAP_IBM_F_ALT,110.75,-227.0,0.0,top
SW_16,"7,3",SW_CAP_IBM_F_ALT,281.75,-248.0,0.0,top
SW_17,"4,5",SW_CAP_IBM_F_ALT,177.25,-227.0,0.0,top
SW_18,"8,2",SW_CAP_IBM_F,300.75,-248.0,0.0,top
SW_19,"4,6",SW_CAP_IBM_F,172.5,-206.0,0.0,top
SW_20,"A,4",SW_CAP_IBM_F,367.35,-227.0,0.0,top
SW_21,"9,8",SW_CAP_IBM_F,334.0,-185.0,0.0,top
SW_22,"2,7",SW_CAP_IBM_F,106.0,-185.0,0.0,top
SW_23,"2,1",SW_CAP_IBM_F,78.0,-269.0,0.0,top
SW_24,"5,4",SW_CAP_IBM_F,196.25,-227.0,0.0,top
SW_25,"1,7",SW_CAP_IBM_F,59.0,-185.0,0.0,top
SW_26,"1,8",SW_CAP_IBM_F_ALT,78.0,-185.0,0.0,top
SW_27,"1,5",SW_CAP_IBM_F,59.0,-206.0,0.0,top
SW_28,"1,6",SW_CAP_IBM_F_ALT,78.0,-206.0,0.0,top
SW_29,"1,3",SW_CAP_IBM_F,59.0,-227.0,0.0,top
SW_30,"1,4",SW_CAP_IBM_F_ALT,78.0,-227.0,0.0,top
SW_31,"1,2",SW_CAP_IBM_F,59.0,-248.0,0.0,top
SW_32,"2,3",SW_CAP_IBM_F,78.0,-248.0,0.0,top
SW_33,"1,1",SW_CAP_IBM_F,59.0,-269.0,0.0,top
SW_34,"4,2",SW_CAP_IBM_F_ALT,186.94625,-269.0,0.0,top
SW_35,"5,3",SW_CAP_IBM_F_ALT,215.25,-227.0,0.0,top
SW_36,"6,4",SW_CAP_IBM_F,234.25,-227.0,0.0,top
SW_37,"7,5",SW_CAP_IBM_F,267.5,-206.0,0.0,top
SW_38,"6,5",SW_CAP_IBM_F_ALT,253.25,-227.0,0.0,top
SW_39,"7,4",SW_CAP_IBM_F,272.25,-227.0,0.0,top
SW_40,"8,4",SW_CAP_IBM_F,291.25,-227.0,0.0,top
SW_41,"4,1",SW_CAP_IBM_F,160.215,-269.0,0.0,top
SW_42,"9,6",SW_CAP_IBM_F,324.5,-206.0,0.0,top
SW_43,"2,2",SW_CAP_IBM_F_ALT,110.75,-269.0,0.0,top
SW_44,"3,1",SW_CAP_IBM_F,136.405,-269.0,0.0,top
SW_45,"2,4",SW_CAP_IBM_F_ALT,108.375,-248.0,0.0,top
SW_46,"7,2",SW_CAP_IBM_F,262.75,-248.0,0.0,top
SW_47,"8,8",SW_CAP_IBM_F_ALT,315.0,-185.0,0.0,top
SW_48,"6,3",SW_CAP_IBM_F_ALT,243.75,-248.0,0.0,top
SW_49,"3,3",SW_CAP_IBM_F,129.75,-248.0,0.0,top
SW_50,"9,5",SW_CAP_IBM_F_ALT,348.3,-227.0,0.0,top
SW_51,"7,6",SW_CAP_IBM_F_ALT,286.5,-206.0,0.0,top
SW_52,"9,1",CAL_CAP_IBM_F,456.046,-276.485,0.0,top
SW_53,"B,5",SW_CAP_IBM_F,405.45,-227.0,0.0,top
SW_54,"C,4",SW_CAP_IBM_F,424.5,-227.0,0.0,top
SW_55,"C,3",SW_CAP_IBM_F_ALT,443.55,-227.0,0.0,top
SW_56,"A,3",SW_CAP_IBM_F_ALT,386.425,-248.0,0.0,top
SW_57,"B,4",SW_CAP_IBM_F,405.475,-248.0,0.0,top
SW_58,"B,3",SW_CAP_IBM_F_ALT,424.525,-248.0,0.0,top
SW_59,"C,2",SW_CAP_IBM_F_ALT,443.575,-248.0,0.0,top
SW_60,"A,1",SW_CAP_IBM_F_ALT,386.425,-269.0,0.0,top
SW_61,"B,1",SW_CAP_IBM_F,405.475,-269.0,0.0,top
SW_62,"B,2",SW_CAP_IBM_F_ALT,424.525,-269.0,0.0,top
SW_63,"B,8",SW_CAP_IBM_F,386.3875,-185.0,0.0,top
SW_64,"C,1",SW_CAP_IBM_F_ALT,443.575,-269.0,0.0,top
SW_65,"8,6",SW_CAP_IBM_F_ALT,305.5,-206.0,0.0,top
SW_66,"B,7",SW_CAP_IBM_F_ALT,405.4375,-185.0,0.0,top
SW_67,"C,8",SW_CAP_IBM_F,424.4875,-185.0,0.0,top
SW_68,"C,7",SW_CAP_IBM_F_ALT,443.5375,-185.0,0.0,top
SW_69,"A,7",SW_CAP_IBM_F_ALT,386.3625,-206.0,0.0,top
SW_70,"B,6",SW_CAP_IBM_F,405.4125,-206.0,0.0,top
SW_71,"C,6",SW_CAP_IBM_F,424.4625,-206.0,0.0,top
SW_72,"C,5",SW_CAP_IBM_F_ALT,443.5125,-206.0,0.0,top
SW_73,"A,5",SW_CAP_IBM_F_ALT,386.4,-227.0,0.0,top
SW_74,"3,6",SW_CAP_IBM_F,134.5,-206.0,0.0,top
SW_75,"9,4",SW_CAP_IBM_F,329.25,-227.0,0.0,top
SW_76,"5,5",SW_CAP_IBM_F,191.5,-206.0,0.0,top
SW_77,"8,1",SW_CAP_IBM_F_ALT,317.375,-269.0,0.0,top
SW_78,"9,7",SW_CAP_IBM_F_ALT,343.5,-206.0,0.0,top
SW_79,"9,2",SW_CAP_IBM_F_ALT,364.995,-269.0,0.0,top
SW_80,"9,1",SW_CAP_IBM_F,341.185,-269.0,0.0,top
SW_81,"9,3",SW_CAP_IBM_F,343.5625,-248.0,0.0,top
SW_82,"A,2",SW_CAP_IBM_F,367.375,-248.0,0.0,top
SW_83,"3,5",SW_CAP_IBM_F_ALT,158.25,-227.0,0.0,top
SW_84,"8,5",SW_CAP_IBM_F_ALT,310.25,-227.0,0.0,top
SW_85,"8,3",SW_CAP_IBM_F_ALT,319.75,-248.0,0.0,top
SW_86,"5,1",SW_CAP_IBM_F_ALT,214.615,-269.0,0.0,top
SW_87,"7,1",SW_CAP_IBM_F,266.995,-269.0,0.0,top
SW_88,"6,1",SW_CAP_IBM_F_ALT,238.795,-269.0,0.0,top
SW_89,"5,6",SW_CAP_IBM_F_ALT,210.5,-206.0,0.0,top
SW_90,"2,6",SW_CAP_IBM_F_ALT,110.75,-206.0,0.0,top
SW_91,"6,6",SW_CAP_IBM_F_ALT,248.5,-206.0,0.0,top
SW_92,"5,2",SW_CAP_IBM_F,205.75,-248.0,0.0,top
SW_93,"3,7",SW_CAP_IBM_F_ALT,153.5,-206.0,0.0,top
SW_94,"4,3",SW_CAP_IBM_F,167.75,-248.0,0.0,top
SW_95,"6,7",SW_CAP_IBM_F,229.5,-206.0,0.0,top
SW_96,"3,2",SW_CAP_IBM_F_ALT,148.75,-248.0,0.0,top
